timestamp,label,confidence
2026-04-18 18:57:38,UNKNOWN,113.82
2026-04-18 18:57:43,UNKNOWN,86.57
2026-04-18 18:57:44,thane,79.43
2026-04-18 18:57:44,thane,73.58
2026-04-18 18:57:45,thane,79.17
2026-04-18 18:57:45,thane,73.97
2026-04-18 18:57:45,thane,79.72
2026-04-18 18:57:45,thane,75.18
2026-04-18 18:57:45,thane,76.37
2026-04-18 18:57:45,thane,78.96
2026-04-18 18:57:45,thane,77.52
2026-04-18 18:57:45,thane,77.56
2026-04-18 18:57:45,thane,78.66
2026-04-18 18:57:45,thane,79.5
2026-04-18 18:57:45,thane,77.42
2026-04-18 18:57:45,thane,78.37
2026-04-18 18:57:46,thane,76.91
2026-04-18 18:57:46,thane,77.29
2026-04-18 18:57:46,thane,77.18
2026-04-18 18:57:46,thane,71.56
2026-04-18 18:59:29,UNKNOWN,113.82
2026-04-18 18:59:34,UNKNOWN,88.63
2026-04-18 18:59:56,UNKNOWN,113.82
2026-04-18 19:00:01,UNKNOWN,91.42
2026-04-18 19:00:06,UNKNOWN,85.1
2026-04-18 19:00:06,thane,79.43
2026-04-18 19:00:07,thane,73.58
2026-04-18 19:00:07,thane,79.17
2026-04-18 19:00:07,thane,73.97
2026-04-18 19:00:07,thane,79.72
2026-04-18 19:00:07,thane,75.18
2026-04-18 19:00:08,thane,76.37
2026-04-18 19:00:08,thane,78.96
2026-04-18 19:00:08,thane,77.52
2026-04-18 19:00:08,thane,77.56
2026-04-18 19:00:08,thane,78.66
2026-04-18 19:00:08,thane,79.5
2026-04-18 19:00:08,thane,77.42
2026-04-18 19:00:09,thane,78.37
2026-04-18 19:00:09,thane,76.91
2026-04-18 19:00:09,thane,77.29
2026-04-18 19:00:09,thane,77.18
2026-04-18 19:00:09,thane,71.56
2026-04-18 19:02:23,UNKNOWN,86.39
2026-04-18 19:02:28,UNKNOWN,89.44
2026-04-18 19:02:34,UNKNOWN,89.49
2026-04-21 13:47:20,UNKNOWN,113.82
2026-04-21 13:47:25,UNKNOWN,93.92
2026-04-21 13:47:30,UNKNOWN,107.37
2026-04-21 13:47:35,UNKNOWN,84.9
2026-04-21 13:47:35,thane,79.43
2026-04-21 13:47:36,thane,73.58
2026-04-21 13:47:36,thane,79.17
2026-04-21 13:47:36,thane,73.97
2026-04-21 13:47:37,thane,79.72
2026-04-21 13:47:37,thane,75.18
2026-04-21 13:47:38,thane,76.37
2026-04-21 13:47:38,thane,78.96
2026-04-21 13:47:38,thane,77.52
2026-04-21 13:47:38,thane,77.56
2026-04-21 13:47:39,thane,78.66
2026-04-21 13:47:39,thane,79.5
2026-04-21 13:47:39,thane,77.42
2026-04-21 13:47:39,thane,78.37
2026-04-21 13:47:39,thane,76.91
2026-04-21 13:47:40,thane,77.29
2026-04-21 13:47:40,thane,77.18
2026-04-21 13:47:40,thane,71.56
2026-04-21 13:47:54,UNKNOWN,95.7
2026-04-21 13:47:59,UNKNOWN,95.26
2026-04-21 13:51:08,UNKNOWN,146.58
2026-04-21 13:51:13,UNKNOWN,106.14
2026-04-21 13:51:18,UNKNOWN,102.08
2026-04-21 13:51:23,UNKNOWN,96.32
2026-04-26 22:30:45,UNKNOWN,113.82
2026-04-26 22:30:50,UNKNOWN,93.92
2026-04-26 22:30:58,UNKNOWN,87.35
2026-04-26 22:31:03,UNKNOWN,80.63
2026-04-26 22:31:03,thane,79.43
2026-04-26 22:31:03,thane,73.58
2026-04-26 22:31:04,thane,79.17
2026-04-26 22:31:04,thane,73.97
2026-04-26 22:31:04,thane,79.72
2026-04-26 22:31:04,thane,75.18
2026-04-26 22:31:04,thane,76.37
2026-04-26 22:31:04,thane,78.96
2026-04-26 22:31:05,thane,77.52
2026-04-26 22:31:05,thane,77.56
2026-04-26 22:31:05,thane,78.66
2026-04-26 22:31:05,thane,79.5
2026-04-26 22:31:05,thane,77.42
2026-04-26 22:31:05,thane,78.37
2026-04-26 22:31:05,thane,76.91
2026-04-26 22:31:06,thane,77.29
2026-04-26 22:31:06,thane,77.18
2026-04-26 22:31:06,thane,71.56
2026-04-26 22:31:49,UNKNOWN,113.82
2026-04-26 22:31:55,UNKNOWN,93.92
2026-04-26 22:32:01,UNKNOWN,102.2
2026-04-26 22:32:04,thane,79.43
2026-04-26 22:32:04,thane,73.58
2026-04-26 22:32:05,thane,79.17
2026-04-26 22:32:05,thane,73.97
2026-04-26 22:32:05,thane,79.72
2026-04-26 22:32:05,thane,75.18
2026-04-26 22:32:05,thane,76.37
2026-04-26 22:32:06,thane,78.96
2026-04-26 22:32:06,thane,77.52
2026-04-26 22:32:06,thane,77.56
2026-04-26 22:32:06,thane,78.66
2026-04-26 22:32:06,thane,79.5
2026-04-26 22:32:06,thane,77.42
2026-04-26 22:32:06,UNKNOWN,124.88
2026-04-26 22:32:06,thane,78.37
2026-04-26 22:32:06,thane,76.91
2026-04-26 22:32:07,thane,77.29
2026-04-26 22:32:07,thane,77.18
2026-04-26 22:32:07,thane,71.56
2026-04-26 22:32:14,UNKNOWN,113.82
2026-04-26 22:32:19,UNKNOWN,98.96
2026-04-26 22:32:24,UNKNOWN,107.19
2026-04-26 22:32:29,UNKNOWN,84.9
2026-04-26 22:32:29,thane,79.43
2026-04-26 22:32:30,thane,73.58
2026-04-26 22:32:30,thane,79.17
2026-04-26 22:32:30,thane,73.97
2026-04-26 22:32:31,thane,79.72
2026-04-26 22:32:31,thane,75.18
2026-04-26 22:32:32,thane,76.37
2026-04-26 22:32:32,thane,78.96
2026-04-26 22:32:32,thane,77.52
2026-04-26 22:32:32,thane,77.56
2026-04-26 22:32:32,thane,78.66
2026-04-26 22:32:32,thane,79.5
2026-04-26 22:32:32,thane,77.42
2026-04-26 22:32:33,thane,78.37
2026-04-26 22:32:33,thane,76.91
2026-04-26 22:32:33,thane,77.29
2026-04-26 22:32:33,thane,77.18
2026-04-26 22:32:33,thane,71.56
2026-04-26 22:44:23,UNKNOWN,88.5
2026-04-26 22:44:29,UNKNOWN,97.42
2026-04-26 22:44:35,UNKNOWN,108.66
2026-04-26 22:44:41,UNKNOWN,99.58
2026-04-26 22:44:46,UNKNOWN,89.06
2026-04-26 22:44:51,UNKNOWN,89.66
2026-04-26 22:46:08,UNKNOWN,113.82
2026-04-26 22:46:13,UNKNOWN,86.22
2026-04-26 22:46:14,thane,79.17
2026-04-26 22:46:14,thane,79.72
2026-04-26 22:46:14,thane,75.18
2026-04-26 22:46:14,thane,78.96
2026-04-26 22:46:14,thane,77.52
2026-04-26 22:46:14,thane,78.66
2026-04-26 22:46:14,thane,77.42
2026-04-26 22:46:14,thane,78.37
2026-04-26 22:46:14,thane,76.91
2026-04-26 22:46:15,thane,77.29
2026-04-26 22:46:15,thane,77.18
2026-04-26 22:46:21,UNKNOWN,88.5
2026-04-26 22:46:27,UNKNOWN,97.42
2026-04-26 22:46:33,UNKNOWN,108.66
2026-04-26 22:46:39,UNKNOWN,98.96
2026-04-26 22:46:44,UNKNOWN,95.73
2026-04-26 22:48:19,UNKNOWN,82.04
2026-04-26 22:48:24,UNKNOWN,100.03
2026-04-26 22:48:30,UNKNOWN,91.57
2026-04-26 22:48:36,UNKNOWN,97.88
2026-04-26 22:48:41,UNKNOWN,94.97
2026-04-26 22:48:46,UNKNOWN,99.77
2026-04-26 22:51:31,UNKNOWN,92.96
2026-04-26 22:51:37,UNKNOWN,90.67
2026-04-26 22:51:42,UNKNOWN,91.48
2026-04-26 22:51:49,UNKNOWN,99.31
2026-04-26 22:54:24,UNKNOWN,89.82
2026-04-26 22:54:30,UNKNOWN,90.67
2026-04-26 22:54:36,UNKNOWN,91.48
2026-04-26 22:54:42,UNKNOWN,99.31
2026-04-26 22:58:34,UNKNOWN,89.82
2026-04-26 22:58:39,UNKNOWN,90.67
2026-04-26 22:58:45,UNKNOWN,91.48
2026-04-26 22:58:51,UNKNOWN,99.31
2026-04-26 23:01:57,UNKNOWN,89.82
2026-04-26 23:02:02,UNKNOWN,90.67
2026-04-26 23:02:08,UNKNOWN,91.48
2026-04-26 23:02:14,UNKNOWN,99.31
2026-04-26 23:02:40,UNKNOWN,113.82
2026-04-26 23:02:45,UNKNOWN,85.96
2026-04-26 23:02:46,thane,79.57
2026-04-26 23:02:47,thane,78.91
2026-04-26 23:02:47,thane,79.47
2026-04-26 23:02:47,thane,79.01
2026-04-26 23:02:47,thane,77.79
2026-04-26 23:02:47,thane,78.45
2026-04-26 23:02:47,thane,77.2
2026-04-26 23:02:47,thane,78.94
2026-04-26 23:02:47,thane,77.16
2026-04-26 23:02:47,thane,77.61
2026-04-26 23:02:48,thane,76.95
2026-04-26 23:02:58,UNKNOWN,113.82
2026-04-26 23:03:03,UNKNOWN,85.45
2026-04-26 23:03:04,thane,79.57
2026-04-26 23:03:04,thane,78.91
2026-04-26 23:03:04,thane,79.47
2026-04-26 23:03:04,thane,79.01
2026-04-26 23:03:04,thane,77.79
2026-04-26 23:03:05,thane,78.45
2026-04-26 23:03:05,thane,77.2
2026-04-26 23:03:05,thane,78.94
2026-04-26 23:03:05,thane,77.16
2026-04-26 23:03:05,thane,77.61
2026-04-26 23:03:05,thane,76.95
2026-04-26 23:03:29,UNKNOWN,113.82
2026-04-26 23:03:34,UNKNOWN,98.9
2026-04-26 23:03:37,thane,79.57
2026-04-26 23:03:37,thane,78.91
2026-04-26 23:03:37,thane,79.47
2026-04-26 23:03:37,thane,79.01
2026-04-26 23:03:37,thane,77.79
2026-04-26 23:03:38,thane,78.45
2026-04-26 23:03:38,thane,77.2
2026-04-26 23:03:38,thane,78.94
2026-04-26 23:03:38,thane,77.16
2026-04-26 23:03:38,thane,77.61
2026-04-26 23:03:38,thane,76.95
2026-04-26 23:03:47,UNKNOWN,113.82
2026-04-26 23:03:52,UNKNOWN,122.84
2026-04-26 23:03:54,thane,79.57
2026-04-26 23:03:54,thane,78.91
2026-04-26 23:03:54,thane,79.47
2026-04-26 23:03:55,thane,79.01
2026-04-26 23:03:55,thane,77.79
2026-04-26 23:03:55,thane,78.45
2026-04-26 23:03:55,thane,77.2
2026-04-26 23:03:55,thane,78.94
2026-04-26 23:03:55,thane,77.16
2026-04-26 23:03:55,thane,77.61
2026-04-26 23:03:55,thane,76.95
2026-04-26 23:04:00,UNKNOWN,113.82
2026-04-26 23:04:05,UNKNOWN,84.87
2026-04-26 23:04:06,thane,79.57
2026-04-26 23:04:06,thane,78.91
2026-04-26 23:04:06,thane,79.47
2026-04-26 23:04:06,thane,79.01
2026-04-26 23:04:06,thane,77.79
2026-04-26 23:04:06,thane,78.45
2026-04-26 23:04:07,thane,77.2
2026-04-26 23:04:07,thane,78.94
2026-04-26 23:04:07,thane,77.16
2026-04-26 23:04:07,thane,77.61
2026-04-26 23:04:07,thane,76.95
2026-04-26 23:04:13,UNKNOWN,113.82
2026-04-26 23:04:18,UNKNOWN,84.87
2026-04-26 23:04:19,thane,79.57
2026-04-26 23:04:19,thane,78.91
2026-04-26 23:04:19,thane,79.47
2026-04-26 23:04:19,thane,79.01
2026-04-26 23:04:19,thane,77.79
2026-04-26 23:04:19,thane,78.45
2026-04-26 23:04:19,thane,77.2
2026-04-26 23:04:19,thane,78.94
2026-04-26 23:04:19,thane,77.16
2026-04-26 23:04:20,thane,77.61
2026-04-26 23:04:20,thane,76.95
